domain,ml_probability,source,gsb_status,urlscan_status,urlscan_found,urlscan_malicious_scans,urlscan_total_scans,urlscan_verdicts,urlscan_latest_date,urlscan_checked_at
rxqi.cn,0.22006786,jpcert,unsafe,safe,True,0,3,,2023-07-31T16:44:09.883Z,2026-01-11T20:54:31.639222
xn--80ab1amccbm0f.xn--p1ai,0.014692772,phishtank,unsafe,safe,True,0,10,,2025-10-31T13:04:02.770Z,2026-01-11T20:54:33.547146
praevida.com.ar,0.040330846,jpcert,unsafe,safe,True,0,10,,2025-07-19T10:00:45.537Z,2026-01-11T20:54:35.484667
cos.ge,0.05166685,phishtank,unsafe,safe,True,0,10,,2025-11-11T08:54:10.693Z,2026-01-11T20:54:38.032835
jm1860.com.cn,0.08429331,certificates,unsafe,safe,True,0,3,,2024-11-30T06:57:39.211Z,2026-01-11T20:54:40.055901
pasoapaso.com.ar,0.022228979,jpcert,unsafe,safe,True,0,1,,2024-12-16T09:47:14.074Z,2026-01-11T20:54:42.213436
camarasciervo.com.mx,0.12158869,phishtank,unsafe,safe,True,0,10,,2025-12-21T15:08:24.538Z,2026-01-11T20:54:44.121530
live-app.cx,0.0149683105,phishtank,unsafe,safe,True,0,10,,2025-07-13T19:51:51.391Z,2026-01-11T20:54:46.134503
cenkaskalli.com.tr,0.04480159,jpcert,unsafe,safe,True,0,10,,2025-11-24T03:10:04.697Z,2026-01-11T20:54:48.479145
registroheca.com.ar,0.011089827,phishtank,unsafe,safe,True,0,10,,2025-10-07T18:54:48.021Z,2026-01-11T20:54:50.585619
i7yk1x.top,0.48857903,phishtank,unsafe,safe,True,0,7,,2025-06-30T06:20:31.901Z,2026-01-11T20:54:55.637544
usuariosnetb.icu,0.04691838,phishtank,unsafe,not_found,False,0,0,,,2026-01-11T20:54:57.521736
robonelectric.co.za,0.050776664,phishtank,unsafe,safe,True,0,8,,2024-11-23T06:15:52.348Z,2026-01-11T20:54:59.409450
replug.link,0.043867163,phishtank,unsafe,safe,True,0,10,,2026-01-11T05:35:28.074Z,2026-01-11T20:55:01.330025
sadaohospital.go.th,0.038194746,jpcert,unsafe,safe,True,0,2,,2025-01-29T09:44:28.527Z,2026-01-11T20:55:03.212925
120jj.cn,0.42989755,certificates,unsafe,safe,True,0,1,,2024-12-22T14:32:11.700Z,2026-01-11T20:55:05.102650
fpt.one,0.004001491,phishtank,unsafe,safe,True,0,10,,2025-05-04T15:26:16.379Z,2026-01-11T20:55:07.017162
wf12349.com.cn,0.12483746,jpcert,unsafe,safe,True,0,2,,2023-06-07T15:09:36.890Z,2026-01-11T20:55:09.502445
bqbq.de,0.024672337,phishtank,unsafe,safe,True,0,10,,2025-11-02T12:48:33.048Z,2026-01-11T20:55:11.420608
mrw.so,0.016104069,certificates,unsafe,safe,True,0,10,,2025-07-04T20:15:45.786Z,2026-01-11T20:55:13.528554
ume.la,0.0107728625,phishtank,unsafe,safe,True,0,10,,2025-12-17T22:16:50.825Z,2026-01-11T20:55:15.417248
harcofed.org.in,0.08981276,phishtank,unsafe,safe,True,0,10,,2025-12-18T08:49:24.673Z,2026-01-11T20:55:17.615482
jsft.dk,0.18306921,phishtank,unsafe,safe,True,0,10,,2025-12-05T11:55:49.267Z,2026-01-11T20:55:19.549965
segurobradescodental.com.br,0.17360316,phishtank,unsafe,safe,True,0,10,,2025-10-12T00:02:38.600Z,2026-01-11T20:55:21.462353
xiawap.com.cn,0.009797518,jpcert,unsafe,not_found,False,0,0,,,2026-01-11T20:55:23.371545
tianxiqianhe.com,0.008609436,jpcert,unsafe,safe,True,0,10,,2025-01-23T04:59:21.151Z,2026-01-11T20:55:25.550698
saltekomakine.com,0.16010478,phishtank,unsafe,safe,True,0,10,,2024-11-24T11:21:50.247Z,2026-01-11T20:55:28.163274
generalgaming.ca,0.26670048,phishtank,unsafe,safe,True,0,10,,2024-07-04T07:34:30.257Z,2026-01-11T20:55:30.793046
