tau,stage3_count,stage3_rate_pct,auto_decided,auto_errors,auto_error_rate_pct,auto_fn,auto_fp
0.0,12684,9.97,114538,374,0.3265,371,3
0.02,12683,9.97,114539,374,0.3265,371,3
0.04,12676,9.96,114546,374,0.3265,371,3
0.06,12657,9.95,114565,374,0.3265,371,3
0.08,12642,9.94,114580,374,0.3264,371,3
0.1,12631,9.93,114591,374,0.3264,371,3
0.12,12624,9.92,114598,374,0.3264,371,3
0.14,12602,9.91,114620,374,0.3263,371,3
0.16,12589,9.9,114633,375,0.3271,372,3
0.18,12568,9.88,114654,376,0.3279,373,3
0.2,12514,9.84,114708,377,0.3287,374,3
0.22,12376,9.73,114846,378,0.3291,375,3
0.24,12227,9.61,114995,382,0.3322,379,3
0.26,12101,9.51,115121,386,0.3353,383,3
0.28,12014,9.44,115208,393,0.3411,390,3
0.3,11960,9.4,115262,396,0.3436,393,3
0.32,11916,9.37,115306,399,0.346,396,3
0.34,11879,9.34,115343,399,0.3459,396,3
0.36,11824,9.29,115398,403,0.3492,400,3
0.38,11767,9.25,115455,404,0.3499,401,3
0.4,11952,9.39,115270,401,0.3479,398,3
0.42,11658,9.16,115564,412,0.3565,409,3
0.44,11602,9.12,115620,417,0.3607,414,3
0.46,11554,9.08,115668,417,0.3605,414,3
0.48,11491,9.03,115731,420,0.3629,417,3
0.5,11422,8.98,115800,427,0.3687,424,3
0.52,11346,8.92,115876,429,0.3702,426,3
0.54,11254,8.85,115968,437,0.3768,434,3
0.56,11114,8.74,116108,442,0.3807,439,3
0.58,10911,8.58,116311,448,0.3852,445,3
0.6,10672,8.39,116550,457,0.3921,454,3
0.62,10343,8.13,116879,467,0.3996,464,3
0.64,9928,7.8,117294,480,0.4092,477,3
0.66,9458,7.43,117764,499,0.4237,496,3
0.68,8972,7.05,118250,518,0.4381,515,3
0.7,8543,6.72,118679,531,0.4474,528,3
0.72,8114,6.38,119108,550,0.4618,547,3
0.74,7700,6.05,119522,569,0.4761,566,3
0.76,7346,5.77,119876,584,0.4872,581,3
0.78,6990,5.49,120232,606,0.504,603,3
0.8,6677,5.25,120545,627,0.5201,624,3
0.82,6386,5.02,120836,645,0.5338,642,3
0.84,6074,4.77,121148,671,0.5539,668,3
0.86,5790,4.55,121432,689,0.5674,686,3
0.88,5487,4.31,121735,717,0.589,714,3
0.9,5153,4.05,122069,743,0.6087,740,3
0.92,4746,3.73,122476,779,0.636,776,3
0.94,4302,3.38,122920,845,0.6874,842,3
0.96,3748,2.95,123474,944,0.7645,941,3
0.98,2567,2.02,124655,1202,0.9643,1199,3
1.0,1718,1.35,125504,1447,1.153,1444,3
